inventory_id,product_id,sku,warehouse_id,warehouse_name,warehouse_location,stock_quantity,reserved_quantity,available_quantity,stock_status,reorder_level,reorder_quantity,supplier_name,supplier_contact,expected_restock_date,last_restocked_date,inventory_last_updated
619b91da-faca-4da2-9b87-23000e91841b,1,ESH-SMARTL-001,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",214,3,211,In Stock,45,120,Vionix Home Tech,sales@vionixhometech.com | +1-833-410-9133,,2026-07-25,2026-07-25
26439f4c-9136-41b7-98ea-fe14962ea3f4,2,ESH-WIFISM-002,WH-CENT-01,Central Warehouse,"Kansas City, MO, USA",306,13,293,In Stock,45,120,Brightline Smart Devices Co.,supply@brightlinesmar.com | +1-454-384-4999,,2026-03-21,2026-07-15
e4cc0654-2632-4333-b759-6eb16e6cdddc,3,EHA-ROBOTV-003,WH-CENT-01,Central Warehouse,"Kansas City, MO, USA",80,18,62,In Stock,45,120,PureAir Manufacturing Co.,contact@pureairmanufac.com | +1-494-823-2199,,2026-04-20,2026-06-22
6f6c7a2f-46fd-4bc4-b3fa-7794bc453a3b,4,EKA-ELECTR-004,WH-NORTH-01,North Regional Hub,"Minneapolis, MN, USA",97,16,81,In Stock,45,120,Kitchenex Manufacturing,contact@kitchenexmanuf.com | +1-631-240-2271,,2025-10-18,2026-04-11
68b64242-9556-458f-9a44-1e3f36abdd9f,5,EKA-AIRFRY-005,WH-CENT-01,Central Warehouse,"Kansas City, MO, USA",28,10,18,Low Stock,45,120,ChefLine Appliances Co.,procurement@cheflineapplia.com | +1-667-270-2533,2026-08-20,2026-07-16,2026-07-25
bbe77f2b-bf3a-44b1-8ecf-08a4789dfdfe,6,EKA-MICROW-006,WH-EAST-01,East Distribution Center,"Newark, NJ, USA",174,15,159,In Stock,45,120,HeatWave Kitchen Tech,procurement@heatwavekitche.com | +1-897-656-5662,,2025-08-26,2026-01-31
8923b432-ce87-4958-9ba3-c22145e459dd,7,EKA-INDUCT-007,WH-EAST-01,East Distribution Center,"Newark, NJ, USA",24,11,13,Low Stock,45,120,HeatWave Kitchen Tech,sales@heatwavekitche.com | +1-705-260-4575,2026-08-20,2026-03-19,2026-05-01
94018d57-6b0f-4e2a-88c0-e89bfb214fb2,8,EKA-MIXERG-008,WH-WEST-01,West Fulfillment Center,"Reno, NV, USA",172,4,168,In Stock,45,120,ChefLine Appliances Co.,sales@cheflineapplia.com | +1-370-659-7580,,2026-02-14,2026-05-25
e3dabcae-b139-445f-bdbc-540a37059209,9,ELA-REFRIG-009,WH-WEST-01,West Fulfillment Center,"Reno, NV, USA",64,8,56,In Stock,9,24,MaxLoad Home Systems Inc.,contact@maxloadhomesys.com | +1-567-899-7233,,2026-03-03,2026-07-21
cb64b341-08e1-4c19-bd92-f155f496c890,10,ELA-WASHIN-010,WH-EAST-01,East Distribution Center,"Newark, NJ, USA",39,4,35,In Stock,9,24,ColdCore Appliances Ltd.,orders@coldcoreapplia.com | +1-212-696-3987,,2025-10-24,2026-01-09
1b2774b7-29f4-4069-a276-292b11e49eff,11,ECC-SPLITA-011,WH-EAST-01,East Distribution Center,"Newark, NJ, USA",97,9,88,In Stock,22,60,PureBreeze Industries,supply@purebreezeindu.com | +1-824-779-6220,,2025-10-08,2026-05-10
88e492dc-d7e0-4240-a1ed-f689b1e421f5,12,ECC-TOWERF-012,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",75,22,53,In Stock,22,60,PureBreeze Industries,sales@purebreezeindu.com | +1-667-896-7428,,2026-06-07,2026-07-18
7908369e-5c31-401c-868e-9d963043e779,13,ECC-ROOMHE-013,WH-NORTH-01,North Regional Hub,"Minneapolis, MN, USA",134,12,122,In Stock,22,60,PureBreeze Industries,contact@purebreezeindu.com | +1-263-395-2103,,2025-09-17,2026-05-21
69a969f6-763f-42ba-9c35-a5fd73f1283e,14,ECC-AIRPUR-014,WH-WEST-01,West Fulfillment Center,"Reno, NV, USA",21,14,7,Low Stock,22,60,AeroFlow Climate Systems,sales@aeroflowclimat.com | +1-200-780-3478,2026-08-19,2025-09-20,2026-07-24
0daf0cee-1314-498a-a24b-63cd7fbb400a,15,ECC-CEILIN-015,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",3,3,0,Out of Stock,22,60,PureBreeze Industries,contact@purebreezeindu.com | +1-352-849-5132,2026-08-02,2025-08-08,2025-11-22
8529c67e-ebfe-4dac-8255-9fa6abcdec61,16,EE-LEDTV4-016,WH-CENT-01,Central Warehouse,"Kansas City, MO, USA",128,19,109,In Stock,22,60,Visionary Display Co.,contact@visionarydispl.com | +1-677-691-8927,,2026-03-25,2026-04-09
90245250-c964-4e41-999f-7dafe9e54d99,17,EE-SOUNDB-017,WH-WEST-01,West Fulfillment Center,"Reno, NV, USA",102,2,100,In Stock,22,60,StreamTech Manufacturing,supply@streamtechmanu.com | +1-690-908-3645,,2025-09-16,2026-03-10
4febc895-5348-457c-bb11-a65f3b12735a,18,EE-BLUETO-018,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",29,3,26,In Stock,22,60,StreamTech Manufacturing,procurement@streamtechmanu.com | +1-227-976-9652,,2026-01-27,2026-03-05
e45cc08c-6188-4977-a3fd-e273bfae1ee5,19,EA-WIRELE-019,WH-EAST-01,East Distribution Center,"Newark, NJ, USA",193,20,173,In Stock,45,120,ClearTone Audio Co.,supply@cleartoneaudio.com | +1-371-564-4650,,2026-07-17,2026-07-21
6df5aff6-0050-4e35-9c49-90b3c5c906b6,20,EA-OVEREA-020,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",310,17,293,In Stock,45,120,SonicWave Electronics,procurement@sonicwaveelect.com | +1-976-399-4922,,2026-01-10,2026-06-21
70a67e18-df11-4a60-a3eb-a1cdfcdf96eb,21,EM-SMARTP-021,WH-WEST-01,West Fulfillment Center,"Reno, NV, USA",146,23,123,In Stock,22,60,NexaTel Devices Inc.,sales@nexateldevices.com | +1-228-486-8737,,2025-11-05,2026-07-15
adbf11fa-1bcf-45f1-99c7-e1e498c77344,22,EW-SMARTW-022,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",159,6,153,In Stock,45,120,ActiveBand Manufacturing,supply@activebandmanu.com | +1-573-282-4612,,2026-01-18,2026-05-12
62cf18b9-31b3-47c1-a5d7-0688e4870104,23,EW-FITNES-023,WH-NORTH-01,North Regional Hub,"Minneapolis, MN, USA",80,7,73,In Stock,45,120,FitTrack Wearables Co.,contact@fittrackwearab.com | +1-839-824-1031,,2025-11-03,2026-04-24
f7d3d850-192e-4a41-bba5-469c0479909b,24,EC-LAPTOP-024,WH-EAST-01,East Distribution Center,"Newark, NJ, USA",27,11,16,Low Stock,22,60,LogicWorks Computing Co.,orders@logicworkscomp.com | +1-689-382-8109,2026-08-05,2026-06-29,2026-07-11
c1564a83-cf85-4536-9735-d2fa7eb97be8,25,ECA-WIRELE-025,WH-NORTH-01,North Regional Hub,"Minneapolis, MN, USA",108,2,106,In Stock,22,60,InputTech Devices Ltd.,sales@inputtechdevic.com | +1-942-362-3785,,2026-03-20,2026-06-30
4607190d-9495-4d7f-b1f5-cb85b9bfb507,26,ECA-MECHAN-026,WH-WEST-01,West Fulfillment Center,"Reno, NV, USA",53,0,53,In Stock,22,60,InputTech Devices Ltd.,orders@inputtechdevic.com | +1-826-810-8771,,2026-05-24,2026-07-22
ead59038-afe4-4082-b612-56051c80be6f,27,EA-POWERB-027,WH-SOUTH-01,South Distribution Center,"Dallas, TX, USA",204,4,200,In Stock,45,120,ChargeCore Manufacturing,sales@chargecoremanu.com | +1-943-865-2683,,2026-05-02,2026-05-18
ed3d949b-e064-4110-9fbd-9e4d42b56d48,28,EA-USBCCH-028,WH-WEST-01,West Fulfillment Center,"Reno, NV, USA",4,4,0,Out of Stock,45,120,ChargeCore Manufacturing,supply@chargecoremanu.com | +1-713-446-6341,2026-07-30,2025-11-11,2026-03-19
195ace67-cf51-47a8-b3eb-99580c510cbe,29,EA-WALLCH-029,WH-NORTH-01,North Regional Hub,"Minneapolis, MN, USA",170,17,153,In Stock,45,120,VoltEdge Industries,supply@voltedgeindust.com | +1-669-878-9466,,2025-10-01,2025-11-01
